epoch,acc,iou,loss,lr,precision_2,recall_2,val_acc,val_iou,val_loss,val_precision_2,val_recall_2
0,0.6292441487312317,0.13571211695671082,0.690805196762085,1e-04,0.1932021677494049,0.8898157477378845,0.849833071231842,0.14873379468917847,0.5383417010307312,0.36440274119377136,0.9066389203071594
1,0.9452252388000488,0.22315910458564758,0.3363502621650696,1e-04,0.6924079060554504,0.8686689734458923,0.967563271522522,0.2385208010673523,0.2708398103713989,0.8244178295135498,0.875877857208252
2,0.9722498059272766,0.27539345622062683,0.23794548213481903,1e-04,0.9049220681190491,0.8438450694084167,0.9777514934539795,0.2814435660839081,0.20515084266662598,0.9352222084999084,0.8579018712043762
3,0.9752785563468933,0.3157142698764801,0.19296324253082275,1e-04,0.9365761280059814,0.8423956036567688,0.9791919589042664,0.3171006441116333,0.1698625385761261,0.9530991911888123,0.8548972010612488
4,0.9764126539230347,0.3523005247116089,0.1632435917854309,1e-04,0.9458265900611877,0.8464832901954651,0.9798839092254639,0.3502142131328583,0.1453731209039688,0.9596648812294006,0.8569366931915283
5,0.9771761298179626,0.38585248589515686,0.14171741902828217,1e-04,0.9504004120826721,0.851897656917572,0.9804050922393799,0.38141897320747375,0.12693022191524506,0.9632543921470642,0.8606365919113159
6,0.9777948260307312,0.41638240218162537,0.1254594922065735,1e-04,0.9533427953720093,0.857444703578949,0.9808375835418701,0.4099944233894348,0.11287477612495422,0.9654761552810669,0.865087628364563
7,0.9783134460449219,0.4442487061023712,0.11270918697118759,1e-04,0.9554428458213806,0.8626795411109924,0.9812103509902954,0.4366864264011383,0.1014571264386177,0.9674400091171265,0.8685743808746338
8,0.9787736535072327,0.46978622674942017,0.10240348428487778,1e-04,0.9571845531463623,0.8674768209457397,0.9815346002578735,0.4612474739551544,0.09229889512062073,0.9688398838043213,0.8721921443939209
9,0.9791735410690308,0.49319764971733093,0.0939154252409935,1e-04,0.9586450457572937,0.8716871738433838,0.981816291809082,0.4839085638523102,0.0847301259636879,0.9700013399124146,0.8753114938735962
10,0.9795277118682861,0.5146773457527161,0.08680519461631775,1e-04,0.9599906206130981,0.8753370046615601,0.9820671081542969,0.504880964756012,0.07836215198040009,0.9710226058959961,0.8781218528747559
11,0.9798430800437927,0.5344058275222778,0.08076892793178558,1e-04,0.9612060189247131,0.8785304427146912,0.9822914600372314,0.5242890119552612,0.0730193480849266,0.9715503454208374,0.881259024143219
12,0.9801309108734131,0.5525251030921936,0.07559245079755783,1e-04,0.9623977541923523,0.8812749981880188,0.9824783802032471,0.5420774817466736,0.06836286187171936,0.9723993539810181,0.8830747604370117
13,0.9803912043571472,0.5692269802093506,0.07109999656677246,1e-04,0.9634809494018555,0.883784294128418,0.9826503396034241,0.5586875677108765,0.06436581909656525,0.9728049635887146,0.8855105638504028
14,0.9806256890296936,0.5845915079116821,0.06717909127473831,1e-04,0.9645544290542603,0.8858664631843567,0.9828122854232788,0.5740841627120972,0.06085583195090294,0.9732453227043152,0.8876084685325623
15,0.9808422923088074,0.5987898707389832,0.0637255311012268,1e-04,0.9655782580375671,0.887718141078949,0.9829526543617249,0.5883527398109436,0.057764146476984024,0.9736062288284302,0.8894267082214355
16,0.9810386896133423,0.6119344234466553,0.0606602244079113,1e-04,0.966536819934845,0.8893589973449707,0.9830869436264038,0.6017072200775146,0.05503964424133301,0.9737290740013123,0.8915732502937317
17,0.9812227487564087,0.6241257786750793,0.05792707949876785,1e-04,0.9674693942070007,0.89084392786026,0.983197033405304,0.6139984726905823,0.052585091441869736,0.9741115570068359,0.8928049206733704
18,0.9813911318778992,0.635459303855896,0.055473893880844116,1e-04,0.968359649181366,0.8921393156051636,0.9833030700683594,0.6254620552062988,0.050399575382471085,0.9743589162826538,0.8942410349845886
19,0.9815487861633301,0.6460210680961609,0.053258832544088364,1e-04,0.9691954851150513,0.8933696150779724,0.9833958148956299,0.6361636519432068,0.04842087998986244,0.9745826125144958,0.8955076336860657
20,0.9816945791244507,0.6558777689933777,0.05125437676906586,1e-04,0.9700071811676025,0.8944801688194275,0.98348069190979,0.646245539188385,0.04663374274969101,0.9746941924095154,0.8968631029129028
21,0.9818314909934998,0.6651087999343872,0.049428027123212814,1e-04,0.9707707166671753,0.8955044746398926,0.9835551977157593,0.655574381351471,0.045014116913080215,0.9749065041542053,0.8978465795516968
22,0.9819547533988953,0.6737620830535889,0.04776180163025856,1e-04,0.9714571237564087,0.8964299559593201,0.9836244583129883,0.6642252206802368,0.043529536575078964,0.9752933979034424,0.898345410823822
23,0.9820674061775208,0.6818705201148987,0.04623923450708389,1e-04,0.9721136093139648,0.8972402215003967,0.983683168888092,0.6722989678382874,0.042172182351350784,0.9757141470909119,0.8986047506332397
24,0.9821755886077881,0.689500629901886,0.044838279485702515,1e-04,0.9727298021316528,0.8980318307876587,0.9837397933006287,0.680124044418335,0.04093790799379349,0.9757497906684875,0.8995901942253113
25,0.9822745323181152,0.6966894865036011,0.043547894805669785,1e-04,0.9732983708381653,0.8987777233123779,0.9837963581085205,0.6874926090240479,0.039809372276067734,0.9757466316223145,0.9006549119949341
26,0.9823670387268066,0.7034698128700256,0.042352400720119476,1e-04,0.9738122224807739,0.8995068073272705,0.9838457703590393,0.6942943930625916,0.03875912353396416,0.9759700894355774,0.9011582732200623
